Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2020-01-02,28638.970703,28872.800781,28627.769531,28868.800781,28868.800781,251820000,23058.609375,23413.470703,22928.589844,23346.240234,23346.240234,321570000
2020-01-03,28553.330078,28716.310547,28500.359375,28634.880859,28634.880859,239590000,23176.390625,23176.390625,22638.410156,22686.220703,22686.220703,424240000
2020-01-06,28465.5,28708.019531,28418.630859,28703.380859,28703.380859,252760000,22894.919922,23518.640625,22894.919922,23433.160156,23433.160156,396020000
2020-01-07,28639.179688,28685.5,28565.279297,28583.679688,28583.679688,258900000,23474.259766,23687.740234,23301.589844,23531.349609,23531.349609,334200000
2020-01-08,28556.140625,28866.179688,28522.509766,28745.089844,28745.089844,291750000,23680.320313,23864.650391,23581.449219,23787.449219,23787.449219,317420000
2020-01-09,28851.970703,28988.009766,28844.310547,28956.900391,28956.900391,275060000,23844.269531,24084.710938,23703.160156,23879.119141,23879.119141,324570000
2020-01-10,28977.519531,29009.070313,28789.099609,28823.769531,28823.769531,237830000,23811.109375,24014.779297,23703.25,24001.919922,24001.919922,338150000
2020-01-13,28869.009766,28909.910156,28819.429688,28907.050781,28907.050781,249830000,23940.009766,23996.320313,23798.160156,23995.949219,23995.949219,262650000
2020-01-14,28895.5,29054.160156,28872.269531,28939.669922,28939.669922,287440000,23880.529297,23964.900391,23765.240234,23909.839844,23909.839844,277560000
2020-01-15,28901.800781,29127.589844,28897.349609,29030.220703,29030.220703,260270000,23914.109375,24099.140625,23887.929688,24065.589844,24065.589844,291570000
2020-01-16,29131.949219,29300.320313,29131.949219,29297.640625,29297.640625,252110000,24139.910156,24288.609375,24119.720703,24207.160156,24207.160156,302830000
2020-01-17,29313.310547,29373.619141,29289.910156,29348.099609,29348.099609,321820000,24147.089844,24474.460938,24088.900391,24370.099609,24370.099609,288590000
2020-01-21,29269.050781,29341.210938,29146.470703,29196.039063,29196.039063,320640000,24534.189453,24750.220703,24459.029297,24706.349609,24706.349609,372970000
2020-01-22,29263.630859,29320.199219,29172.259766,29186.269531,29186.269531,283440000,24607.759766,24607.759766,24244.310547,24404.480469,24404.480469,338480000
